Rank,Name,Country,Region,Affiliation,Age,Height,Weight
4803,Angel Moran,United States,North America West,Next Level CrossFit,31,,
4804,Maximiliano Anguiano,Mexico,North America West,,21,,
4805,Alan Ravay,United States,North America East,CrossFit DBP,31,71 in,190 lb
4805,Steven Sahyoune,Australia,Oceania,CrossFit Turmoil,31,70 in,80 kg
4807,Tanner Martin,United States,North America West,CrossFit Minnetonka,29,,
4807,Eric Munier,United States,North America West,CrossFit Viable,32,70 in,185 lb
4807,Vinicius Weber,Brazil,South America,Punk CrossFit,25,167 cm,75 kg
4810,Fadi Rabadi,United States,North America East,Always Forward CrossFit,27,69 in,165 lb
4811,Adam Wirth,United States,North America East,All Heart CrossFit,30,71 in,180 lb
4812,James Michael Logan,South Africa,Africa,CrossFit Typhoon,36,181 cm,82 kg
4813,Benjamin Egger,Switzerland,Europe,CrossFit TST 311,25,174 cm,90 kg
4814,Carlos Jimena,Spain,Europe,,32,176 cm,84 kg
4815,Kevin Stewart,United States,North America East,CrossFit Goose Creek,34,70 in,194 lb
4816,Ursulo Juarez Peniche,Mexico,North America West,CrossFit Aachen,32,176 cm,176 lb
4817,Kevin Pei,United States,North America East,CrossFit Route 7,25,70 in,190 lb
4818,Khan Porter,Australia,Oceania,CrossFit Play,33,183 cm,205 lb
4819,Hugo Fernandez Veiga,Spain,Europe,CrossFit 15540,28,178 cm,78 kg
4820,Neal Beckman,United States,North America East,CrossFit Destin,36,66 in,170 lb
4821,Tommaso Pollini,Italy,Europe,CrossFit Grosseto,33,170 cm,77 kg
4821,Sebastien Plasse,France,Europe,CrossFit Colibri SBH,32,177 cm,79 kg
4823,Victor Santiago,Brazil,South America,,27,170 cm,80 kg
4824,Corey Arnouts,United States,North America East,Spartan CrossFit,29,,
4824,David Goodman,United States,North America East,CrossFit Faded Glory,29,73 in,220 lb
4824,Ethan Berge,United States,North America West,CrossFit St Louis Park,32,71 in,185 lb
4827,Sam Constantin,Canada,North America East,CrossFit Caribou,22,67 in,170 lb
4828,Aaron McNew,United States,North America West,,34,72 in,247 lb
4829,West Bass,United States,North America West,CrossFit Falcon View,26,69 in,190 lb
4830,Nick Magalski,United States,North America East,CrossFit Oswego,30,70 in,200 lb
4830,Samuli Kallio,Finland,Europe,CrossFit Myrsky,30,179 cm,89 kg
4832,Andy Barker,United Kingdom,Europe,CrossFit Widnes,28,,
4833,Jacob Hornik,United States,North America East,CrossFit Hype,30,,
4833,Frank Gromosky,United States,North America East,CrossFit Big House,28,,
4835,Ricky Gross,United States,North America East,CrossFit DT1,33,70 in,170 lb
4836,Jari Zegers,Netherlands,Europe,CrossFit Fabriek 0492,22,73 in,190 lb
4837,Joshua Fernandez,United States,North America West,Richard Russell CrossFit,32,68 in,190 lb
4838,Glen Stokes,United Kingdom,Europe,,28,,
4839,Shahin Boyafzar,Netherlands,Europe,CrossFit Noord,28,,
4840,Saif Haquz,Jordan,Asia,CrossFit Grenzgänger,34,170 cm,78 kg
4841,Anthony Godinez,United States,North America West,,28,68 in,195 lb
4841,Trey Hock,United States,North America East,Barrio Trece CrossFit,29,72 in,216 lb
4843,Billy Allen,United States,North America East,Lincoln Park CrossFit,34,,
4844,Matthew Raabe,United States,North America West,CrossFit LumberYard,25,,
4845,Sebastián León,Argentina,South America,,18,,
4846,Bradley Utt,United States,North America West,CrossFit Inner Chamber,28,67 in,185 lb
4847,Seyong Park,"Korea, Republic of",Asia,CrossFit Able,32,,
4848,Riccardo Mozzoni,Italy,Europe,,26,178 cm,85 kg
4849,Aaron Cook,United Kingdom,Europe,CrossFit Surbiton,27,,
4849,Jimmy Garrison,United States,North America East,Full Range CrossFit,32,69 in,182 lb
4851,Victor José,Brazil,South America,Tai CrossFit,25,170 cm,77 kg
4852,Marcos Pérez,United States,North America East,Los de la Isla CrossFit,24,72 in,205 lb
4853,Matthias Turner,Australia,Oceania,CrossFit Boss,33,184 cm,95 kg
4854,Louis Chatelier,France,Europe,CrossFit Human Project,28,175 cm,72 kg
4855,Benoit Batot,France,Europe,CrossFit Saint Etienne,26,,
4856,Cade Wozniak,United States,North America East,,23,72 in,200 lb
4857,Mohammed Alukaidi,Iraq,Asia,Al Quoz CrossFit,30,180 cm,94 kg
4857,Brian Chandler,United States,North America East,Capital City CrossFit,36,72 in,190 lb
4859,Cory Greathouse,United States,North America East,CrossFit Notch 8,26,69 in,180 lb
4860,Amaury Delveaux,France,Europe,CrossFit Nemesis,20,170 cm,75 kg
4860,Kurtis Maltby,Canada,North America West,CrossFit Sherwood Park,28,70 in,185 lb
4860,William Nascimento,Brazil,South America,,28,185 cm,103 kg
4863,Matthew Dearden,United Kingdom,Europe,A365 CrossFit Shoreditch,28,,
4864,Raul Becerril,United States,North America West,CrossFit Teo,30,67 in,155 lb
4865,Andrew Raulston,United States,North America West,CrossFit OKC,29,,
4865,Matthew Antonacci,United States,North America East,CrossFit Hype,28,,
4867,Mattia Leonardo Fontanot,Italy,Europe,,34,,
4868,John Sternagel,United States,North America East,Maverick CrossFit,28,,
4869,Jorge de la Puente,Spain,Europe,Terra CrossFit,30,,
4869,Gideon Harpantides,Germany,Europe,CrossFit Flensburg,27,160 cm,210 kg
4871,Chris Connor,United States,North America East,CrossFit 516,33,72 in,183 lb
4872,Ryuta Amaike,United States,North America East,Saltwater CrossFit,30,,
4873,Lewis Grinsell,United Kingdom,Europe,Second City CrossFit,29,183 cm,90 kg
4873,Joshua Stephenson,United States,North America East,Hammock Coast CrossFit,25,71 in,205 lb
4875,James Strudwick,United Kingdom,Europe,Esprit de Corps CrossFit,25,179 cm,187 lb
4876,Pierrick Bogaert,Côte d'Ivoire,Africa,CrossFit Savage,34,178 cm,83 kg
4877,Chris Knight,United States,North America East,CrossFit TPA,18,68 in,165 lb
4878,Dane Sonnenberg,United States,North America East,CrossFit Allegiance,27,67 in,190 lb
4879,Michael Tomoiaga,United States,North America West,,30,69 in,173 lb
4880,Caleb Patton,United States,North America East,CrossFit Piqua,24,73 in,195 lb
4881,Blake Douglass,United States,North America East,CrossFit Proselyte,28,71 in,230 lb
4881,Riley Byrne,Australia,Oceania,CrossFit Wanderlust,27,185 cm,90 kg
4883,Adeeb Fillies,South Africa,Africa,,34,169 cm,76 kg
4883,Ping Yin Bernard Chau,China,Asia,,35,173 cm,151 lb
4885,Anthony Rojas,United States,North America East,Armor CrossFit,31,,
4886,Matt Viskovich,United States,North America East,,32,73 in,215 lb
4887,Josh Rohde,United States,North America East,CrossFit Funky,30,71 in,185 lb
4888,Charlie Yip,United Kingdom,Europe,CrossFit Navalia,23,183 cm,84 kg
4889,Davíð Gunnarsson,Iceland,Europe,CrossFit Sport,26,194 cm,93 kg
4889,Pierre Potier,France,Europe,CrossFit Gravity,25,185 cm,100 kg
4891,Warren Hart,United Kingdom,Europe,CrossFit Chester Le Street,21,182 cm,81 kg
4891,Seamus Power,United States,North America West,Driven to Conquer CrossFit,29,71 in,160 lb
4893,Jordon Roberts,Australia,Oceania,Marlin Coast CrossFit,28,184 cm,98 kg
4894,Logan Robinson,United States,North America East,CrossFit LA,24,69 in,170 lb
4895,Dupuis Mickael,France,Europe,CrossFit Carcassonne,30,174 cm,79 kg
4896,Carlos Gomez,Australia,Oceania,CrossFit Toowoomba,36,187 cm,88 kg
4897,Nick Abraham,United States,North America East,Sharp Edge CrossFit,24,,
4898,Evan Fredericks,South Africa,Africa,CrossFit FBDV,35,173 cm,90 kg
4899,Elmer Vazquez,United States,North America West,CrossFit Invictus Everest Park,29,72 in,205 lb
4900,Ricardo Garcia,United States,North America East,CrossFit Elmhurst,44,69 in,165 lb
4901,Daniel Borgerding,United States,North America West,Camelback CrossFit,31,72 in,205 lb
4902,Eric Dehoux,United States,North America West,CrossFit Cedar Park,31,70 in,205 lb
4903,Tristan Rittenhouse,United States,North America East,CrossFit Homewood,25,73 in,215 lb
4904,Dustyn Collins,United States,North America East,Blackout CrossFit,28,70 in,185 lb
4905,Emil Johnsson,Sweden,Europe,CrossFit Vanheim,26,172 cm,75 kg
4906,Juanola Jaume,Spain,Europe,,31,,
4907,Gaetan Magueur,France,Europe,Lolonois CrossFit Les Sables d'Olonne,30,178 cm,86 kg
4908,Brandon Wallin,United States,North America East,CrossFit Identity,33,70 in,185 lb
4909,Olivier Roy,Canada,North America East,Repaire CrossFit,33,70 in,195 lb
4910,James Baird,United Kingdom,Europe,CrossFit East Kilbride,24,178 cm,93 kg
4911,Diego Piñeiro,Spain,Europe,CrossFit Gualas,35,177 cm,83 kg
4912,Lee Jonghyun,"Korea, Republic of",Asia,,33,181 cm,96 kg
4913,Maher Ghanmi,Tunisia,Africa,CrossFit Erada,29,,
4914,Ronald Philippe,Canada,North America East,,34,66 in,150 lb
4915,Seth Perry,United States,North America West,CrossFit Train,31,68 in,178 lb
4916,Lenzel Koskela,United States,North America West,CrossFit Alakai,28,,
4917,Tobias Boendergaard,Denmark,Europe,CrossFit Herning,31,178 cm,90 kg
4917,Brendan Hay,United States,North America West,CrossFit 12 Stones,31,,
4917,Merced Cisneros,United States,North America West,MC CrossFit,29,72 in,205 lb
4920,Matteo Velano,Italy,Europe,Penta CrossFit,29,173 cm,84 kg
4920,Nick Liang,Canada,North America East,CrossFit Outlaw North,33,183 cm,187 lb
4922,Daniyal Ghaffar,Pakistan,Asia,,34,,
4922,Eric Wohlstadter,United States,North America East,CrossFit Virtuosity,31,,
4924,Paul Krey,United States,North America West,CrossFit XD,30,70 in,168 lb
4925,Christopher Bielefeld,United States,North America East,CrossFit Train Station,25,66 in,176 lb
4925,Tyler Watson,United States,North America East,,34,69 in,185 lb
4925,Jose Bussolotti,United States,North America East,,34,179 cm,85 kg
4928,Ryver Green,United Kingdom,Europe,CrossFit Penzance,25,191 cm,88 kg
4929,Zachary Mullane,United States,North America East,CrossFit Echo,30,68 in,175 lb
4929,William Harris,South Africa,Africa,CrossFit Alberton 2.0,35,172 cm,84 kg
4931,Ricardo Morales Belen,United States,North America East,HYTE CrossFit,30,174 cm,155 lb
4932,Michael Bullock,United States,North America East,Weasel Warrior CrossFit,27,74 in,220 lb
4933,Blake Johnson,United States,North America East,CrossFit Westchase Largo,29,71 in,195 lb
4933,Lane Malouff,United States,North America West,CrossFit Decimate,37,65 in,195 lb
4933,Jordan Innamorato,France,Europe,CrossFit Vallee du Gier,30,170 cm,74 kg
4936,Kevin Tolodziecki,United States,North America East,Old Line CrossFit,32,68 in,162 lb
4937,Adrien Beulay,France,Europe,Anjou CrossFit,33,171 cm,76 kg
4938,Kevin Mitterhuber,Germany,Europe,CrossFit Jackhammer,32,188 cm,94 kg
4939,Ray Alvez,United States,North America West,CrossFit Rancho Cucamonga,32,,
4940,Domenic Becker,Germany,Europe,CrossFit IN Town,31,178 cm,87 kg
4941,Chad Croot,United Kingdom,Europe,X Lab CrossFit Worthing,26,,
4942,Nicholas Gaulton,Canada,North America East,CrossFit 782,27,180 cm,220 lb
4943,James Sunderland,Ireland,Europe,CrossFit Gorey,36,,
4943,Steven Colon,United States,North America East,CrossFit TAO,32,70 in,190 lb
4945,Paul-Dwane McMenamin,Ireland,Europe,CrossFit Omagh,34,175 cm,83 kg
4946,Ben Saunders,United Kingdom,Europe,Fosse Way CrossFit,38,73 in,220 lb
4947,Christopher Clem,United States,North America East,Finish Vertical CrossFit,28,67 in,165 lb
4948,Junior NC Extreme,Brazil,South America,Iron Maker CrossFit,32,,
4948,Caleb Harlan,United States,North America East,JH CrossFit,22,,
4950,Carl Bolduc,Canada,North America East,Deka CrossFit,24,70 in,175 lb
4951,Trevor Diedrich,United States,North America West,CrossFit 3090,29,69 in,185 lb
4952,Mario Samperio,Guatemala,North America East,CrossFit Tecun Uman,31,177 cm,185 lb
4953,Zacheaus Foster,Canada,North America West,CrossFit Regina,25,72 in,175 lb
4954,Thor Rikhardsson,Iceland,Europe,CrossFit Sudurnes,38,177 cm,88 kg
4955,Erjon Ndokaj,Spain,Europe,CrossFit 27,30,170 cm,85 kg
4956,Abraham Farias,United States,North America East,CrossFit Mt Juliet,29,64 in,170 lb
4957,Luis Vargas,Mexico,North America West,,28,,
4958,Octavio Tundis,Brazil,South America,,25,180 cm,82 kg
4959,Dory Bacher,Austria,Europe,,32,,
4960,Bill Carey,United Kingdom,Europe,,32,,
4961,Joe DeMarco,United States,North America East,Power Pack CrossFit,31,63 in,150 lb
4962,Patrick Heaton,United Kingdom,Europe,CrossFit Preston,31,185 cm,86 kg
4963,Dean Kennedy,Australia,Oceania,CrossFit Arete,24,,
4964,Tyler Barratt,United States,North America East,Maverick CrossFit,30,,
4965,Angelo Geronimo,United States,North America East,CrossFit TreeHouse,26,69 in,200 lb
4965,Romain Dubois,France,Europe,CrossFit Saint-Maur,32,,
4967,Aj Hills,United Kingdom,Europe,CrossFit West Yorkshire,31,,
4968,Luke Newman,United Kingdom,Europe,CrossFit Beowulf,34,172 cm,79 kg
4968,Denis Savchik,United States,North America West,CrossFit Okami,20,72 in,180 lb
4970,Robert Jackson,United States,North America East,CrossFit New England,28,71 in,190 lb
4971,Jordan Acosta,United States,North America East,CrossFit Davidson,32,66 in,170 lb
4972,Ricardo Solis-Ortiz,United States,North America West,CrossFit Fig,32,,
4973,Dominik Loska,Germany,Europe,CrossFit Factory Fulda,23,,
4974,Frederik Østergaard,Denmark,Europe,CrossFit Hobro,28,178 cm,82 kg
4975,Etienne Gauthier,France,Europe,CrossFit Les Enfants De La Barre,24,,
4976,James Hunter,Australia,Oceania,CrossFit Fallen,30,173 cm,77 kg
4977,Johannes Aumann,Germany,Europe,CrossFit Munich,35,184 cm,87 kg
4978,Bastian Rico,France,Europe,Kalliste CrossFit,35,,
4979,Yongjoo Kim,"Korea, Republic of",Asia,Around CrossFit,29,,
4980,Seungjoo Lee,"Korea, Republic of",Asia,CrossFit Pyeongtaek,31,,
4981,JoungTaek Yoon,"Korea, Republic of",Asia,,26,,
4982,Brandon Cepelak,United States,North America East,Bell City CrossFit,29,,
4983,Devon Spindler,Australia,Oceania,CrossFit Woden,28,174 cm,81 kg
4984,Ezra Thomsen,New Zealand,Oceania,CrossFit Papamoa,28,,
4985,Jean-Philippe Cartoux,France,Europe,STADD CrossFit,34,67 in,175 lb
4986,Nicolas Kaufmann,France,Europe,CrossFit CP95,24,178 cm,81 kg
4987,Joshua Weber,United States,North America West,CrossFit Invictus,30,71 in,202 lb
4988,Jerry Gallegos,United States,North America West,CrossFit Wash Park,28,71 in,195 lb
4989,Jeremy Whiteford,United States,North America West,2020 CrossFit,34,74 in,220 lb
4990,Patrick Frank,United States,North America East,CrossFit Union Square,29,69 in,175 lb
4991,Tobias Helsing,Sweden,Europe,CrossFit Partille,22,188 cm,81 kg
4992,Björn Kullberg,Sweden,Europe,,30,178 cm,81 kg
4993,Ryan Howlett,Canada,North America East,Strongmill CrossFit,29,66 in,160 lb
4993,David Attaway,United States,North America East,CrossFit Oviedo,38,76 in,208 lb
4995,Brandon Jalving,Canada,North America West,CrossFit Salmon Arm,24,70 in,168 lb
4996,Stephen Lozier,France,Europe,CrossFit Metal Therapy,29,173 cm,72 kg
4997,Hans Duininck,United States,North America West,Bar Path CrossFit,34,70 in,185 lb
4998,Michael Caliboso,United States,North America West,CrossFit Del Mar,27,,
4999,Benjamin du Toit,South Africa,Africa,,34,178 cm,87 kg
5000,Brandon Sanchez,France,Europe,Natural Spirit CrossFit,30,172 cm,73 kg
5001,Menno Raas,Netherlands,Europe,CrossFit MCA,35,183 cm,92 kg
5002,Espen Stien,Norway,Europe,CrossFit Asker,36,,
5003,Mathieu Morlet,France,Europe,CrossFit La Ciotat,32,181 cm,80 kg
5004,Sandro Perrenoud,Switzerland,Europe,CrossFit Baden,27,,
5005,Jonathan Sangers,Australia,Oceania,BHD CrossFit,25,,
5006,Charlie Clark-Gleave,United Kingdom,Europe,,31,75 in,220 lb
5006,Derek Sweeting,Canada,North America East,CrossFit NCR,33,72 in,195 lb
5008,Tim Pearce,United Kingdom,Europe,CrossFit Poole,26,,
5009,Anto Miró,Spain,Europe,CrossFit 28004,26,,
5010,Hyunseok Chang,"Korea, Republic of",Asia,CrossFit Build Up,28,,
5011,Arman Khaledi,United States,North America West,CrossFit Dallas Central,30,,
5012,Lucas Leonardo,Brazil,South America,SuperForce CrossFit,34,177 cm,190 lb
5013,Chris Libanan,United States,North America West,CrossFit OFC,33,,
5014,Yoan Guettier,France,Europe,CrossFit Giants,29,,
5015,Vincent Swanepoel,South Africa,Africa,,25,176 cm,83 kg
5016,Tyler Wright,United States,North America East,CrossFit Mentality,31,72 in,180 lb
5017,Tomo Kogi,Japan,Asia,CrossFit Roppongi,40,169 cm,74 kg
5018,Yaël Héroult,France,Europe,CrossFit Eysines,21,,
5019,Austin Kapetanakis,United States,North America East,,29,68 in,137 lb
5020,Benjamin Fouille,France,Europe,CrossFit Voiron,22,183 cm,91 kg
5021,Greg Hall,United States,North America West,Grapevine CrossFit,31,70 in,210 lb
5021,Jip Hiltrop,Netherlands,Europe,CrossFit Ede Vallei,30,174 cm,78 kg
5023,Ryan Barry,United States,North America East,CrossFit Covalence,36,72 in,185 lb
5024,Saleh Hattan,Saudi Arabia,Asia,Interval Plus CrossFit,26,173 cm,81 kg
5024,Brian Quigley,United States,North America East,CrossFit Trivium,31,68 in,170 lb
5026,Corey Evans,Australia,Oceania,CrossFit Narellan,31,,
5027,Matthew McMillen,United States,North America West,CrossFit Kailua,24,,
5028,Brandon Sefo,Samoa,Oceania,CrossFit Fatu Toa,32,180 cm,85 kg
5029,Phillip Gil,United States,North America West,Geaux CrossFit,32,68 in,192 lb
5030,Luke Jones,United States,North America East,CrossFit DTR,31,,
5031,Tyler Knop,United States,North America West,CrossFit Fort Vancouver,32,72 in,195 lb
5032,Connor Alderson,Canada,North America West,Surrey CrossFit,25,70 in,180 lb
5033,Ruben Mounourij,Netherlands,Europe,​Pack Mentality CrossFit,29,180 cm,80 kg
5034,Carlos Rodriguez Luque,Spain,Europe,,34,169 cm,78 kg
5034,John Whittle,United Kingdom,Europe,,32,,
5036,Salman Alkawari,Bahrain,Asia,CrossFit Muharraq,26,,
5037,Jean-Baptiste Doy,France,Europe,,31,178 cm,85 kg
5038,Mackenzie DeBoer,United States,North America East,,30,70 in,190 lb
5039,Jostein Jenssen,Norway,Europe,CrossFit Oslo,30,172 cm,176 lb
5040,Andreas Uudmae,Estonia,Europe,CrossFit Hype,20,180 cm,77 kg
5041,Michael Fawcett,South Africa,Africa,Against The Grain CrossFit,27,175 cm,87 kg
5042,Jed Hylands,United Kingdom,Europe,NewWave CrossFit,30,,
5043,Cj Van Kampen,United States,North America East,CrossFit Huntsville,34,74 in,196 lb
5044,Vince Williams,United States,North America East,CrossFit Dahlonega,22,,
5045,Keyen Taulbee,United States,North America East,CrossFit Never Forget,24,71 in,175 lb
5045,Christian LeBlanc,United States,North America West,Hurricane CrossFit,32,68 in,180 lb
5047,Juan Rozo,United States,North America West,CrossFit Muse,22,66 in,178 lb
5047,Christian Thompson,United States,North America West,CrossFit Kilo II,32,68 in,168 lb
5049,Jared Tallant,United States,North America East,CrossFit Tradition,27,72 in,193 lb
5050,Gabriel Mendonca,Brazil,South America,CrossFit Ponto 1,28,,
5051,Rhenzo Garcia,Brazil,South America,E1 CrossFit,20,,
5052,Moritz Von Ahn,Germany,Europe,CrossFit Flensburg,24,178 cm,89 kg
5052,Lenid Roux,South Africa,Africa,The CrossFit Chamber,31,182 cm,85 kg
5054,Stefano Di Francesco,Italy,Europe,,29,172 cm,79 kg
5055,Stephen West,United States,North America West,CrossFit 1055,27,68 in,165 lb
5056,Deoksu Kim,"Korea, Republic of",Asia,CrossFit Paan,35,,
5057,Chin-Sheng Chou,Taiwan,Asia,L7 CrossFit Ba Ke Si,33,172 cm,80 kg
5058,Gilluame Seth De Swardt,South Africa,Africa,CrossFit JBay,23,,
5059,Hugh Fitzgerald,Australia,Oceania,CrossFit Active,22,,
5060,Marc-Olivier Demers,Canada,North America East,L'Usine CrossFit Sherbrooke,33,71 in,182 lb
5061,Jd Wolfe,United States,North America East,Southern Pines CrossFit,30,72 in,185 lb
5062,Garrick Psick,United States,North America West,CrossFit Provoke,37,70 in,215 lb
5062,Carl Tolf,Sweden,Europe,CrossFit Highway,26,189 cm,86 kg
5064,Cooper George,United States,North America East,CrossFit Virtuosity,27,75 in,211 lb
5065,Travis Combs,United States,North America East,Blue Mountain CrossFit,38,68 in,158 lb
5066,Laurier Daigneault,Canada,North America East,CrossFit Stricken,29,185 cm,215 lb
5067,Alex Georgiou,Australia,Oceania,CrossFit Raven,32,164 cm,78 kg
5068,Frederic Gagnon,Canada,North America East,,30,70 in,190 lb
5069,Adam Lawless,Australia,Oceania,CrossFit Claremont,32,184 cm,86 kg
5070,Akid MdNajMuddin,Malaysia,Asia,,29,66 in,155 lb
5071,Reese Shirey,United States,North America East,CrossFit No'Ala,32,72 in,185 lb
5072,Errol Bellchambers,Australia,Oceania,CrossFit Crossaxed,43,170 cm,163 lb
5073,Martin Hartzenberg,South Africa,Africa,CrossFit Resuelto,28,,
5074,Ben Canning,United Kingdom,Europe,CrossFit Habitat,26,72 in,198 lb
5075,Henry Morales,United States,North America East,CrossFit RBP,32,72 in,182 lb
5076,Devon Jewsbury,United Kingdom,Europe,CrossFit Temple,23,73 in,91 kg
5077,William Havins,United States,North America West,CrossFit Fury,31,74 in,205 lb
5078,Jacob Barrish,United States,North America East,CrossFit Music City,30,67 in,197 lb
5079,Scott Matthews,United States,North America East,8th Day CrossFit,28,70 in,170 lb
5080,Daniel Miller,United States,North America East,924 CrossFit,24,,
5081,Mahdi Butmeh,Palestinian Territory,Asia,CrossFit Awasef ElBarrio,24,,
5081,Jeff Scott,United States,North America East,CrossFit Queens,36,75 in,195 lb
5083,Jack Nugent,Australia,Oceania,CrossFit Conditioning,18,,
5084,Mike Short,United States,North America West,CrossFit Saguaro,33,70 in,208 lb
5085,William Pennewell,United States,North America East,CrossFit Royalty,34,69 in,185 lb
5086,Quinn Wardlaw,Australia,Oceania,CrossFit Minerva,19,171 cm,70 kg
5087,Luke Thomson,Australia,Oceania,CrossFit Woden,32,171 cm,83 kg
5088,Chad Moore,United States,North America East,CrossFit Seymour,32,70 in,180 lb
5089,Gavin Brown,Ireland,Europe,,34,,
5090,Rafael Silva,Portugal,Europe,,32,177 cm,82 kg
5091,Kyle Kitchen,United Kingdom,Europe,Better Than Yesterday CrossFit,30,173 cm,182 lb
5092,Felipe Petersen,Chile,South America,,22,,
5093,Ken Grano,United States,North America East,Crooked River CrossFit,37,68 in,165 lb
5094,Matthew Morin,United States,North America West,CrossFit Tigard,33,72 in,205 lb
5095,Spencer Carlson,United States,North America West,CrossFit Ursa,30,71 in,203 lb
5096,Thibaut Chatevaire,France,Europe,CrossFit La Roche sur Yon,32,170 cm,74 kg
5097,Travis Evgen,United States,North America West,CrossFit Thousand Lakes,32,68 in,190 lb
5098,Tyler Mcmanus,United Kingdom,Europe,,19,,
5098,David Vado,Mexico,North America West,,32,163 cm,78 kg
5100,Izaac Van Der Velden,Australia,Oceania,CrossFit Uplift,23,180 cm,83 kg
5101,Joshua Adams,Australia,Oceania,South Mandurah CrossFit,35,175 cm,78 kg
5102,Chris Cogle,Australia,Oceania,CrossFit Chocolate Box,39,,
5103,Shane Vincent,United Kingdom,Europe,CrossFit Southampton,34,178 cm,82 kg
5104,Mattia Grego,Italy,Europe,CrossFit Rovigo,21,,
5105,Daniel Runions,United States,North America East,Clinch Valley CrossFit,30,73 in,200 lb
5105,Finn Luisi,Switzerland,Europe,CrossFit TST 311,21,177 cm,63 kg
5107,Allen Noble,United States,North America West,CrossFit Unrestrained,30,69 in,190 lb
5108,Hugh Taylor,Australia,Oceania,CrossFit Athletic City,26,,
5108,Emile Bernard,France,Europe,CrossFit Minimes,20,181 cm,78 kg
5110,Lewis Falconer,United Kingdom,Europe,CrossFit Epsom,25,71 in,177 lb
5111,Derek Cullison,United States,North America West,CrossFit Advantage,21,66 in,155 lb
5112,Nicholas Waring,United States,North America East,Battle CrossFit,25,67 in,185 lb
5113,Erik Meiners,United States,North America East,Centerville CrossFit,24,72 in,180 lb
5114,Jasin Sahraoui,Germany,Europe,CrossFit Bamberg,27,175 cm,84 kg
5115,Xie Wenhao,China,Asia,No One CrossFit,30,182 cm,103 kg
5116,Reece Clay,Australia,Oceania,CrossFit Karuna,28,175 cm,72 kg
5117,Paul Osorio,Chile,South America,,32,,
5118,Valentin Waeber,Switzerland,Europe,CrossFit Riviera,22,179 cm,80 kg
5119,James Sampley,United States,North America East,CrossFit Inevitable,30,71 in,175 lb
5119,Lewis Turkington,United Kingdom,Europe,CrossFit JXL,27,,
5121,Max Andersson,Sweden,Europe,Majoren CrossFit,21,178 cm,81 kg
5121,Jan Pochobradsky,Switzerland,Europe,CrossFit Winterthur,36,174 cm,80 kg
5123,Mason Sylvester,United States,North America East,CrossFit Fenton,32,,
5124,Luis Castilho,Portugal,Europe,CrossFit Algés,41,181 cm,82 kg
5125,Isacco Martufi,Italy,Europe,,26,179 cm,86 kg
5126,Yassine Litimi,Tunisia,Africa,CrossFit Erada,31,171 cm,155 lb
5127,Seth Hendrix,United States,North America West,CrossFit BFTC,23,73 in,195 lb
5128,Jongwook Kim,"Korea, Republic of",Asia,CrossFit Sweatbox,27,180 cm,87 kg
5128,Romain Piegay,France,Europe,CrossFit Novelty,32,180 cm,190 lb
5130,Fraser Lynes,United Kingdom,Europe,CrossFit Glasgow,20,67 in,70 kg
5130,Daniel Sterni,United States,North America East,SUBU CrossFit,34,72 in,230 lb
5132,Michael Osburn,United States,North America West,Jump Ship CrossFit West,25,,
5132,Brett Livaudais,United States,North America West,Skyline CrossFit,31,,
5134,Garrett Moberg,United States,North America West,Do More CrossFit,32,66 in,160 lb
5135,Jeff Ruffatto,United States,North America East,CrossFit 262,31,69 in,189 lb
5135,Caleb Baker-Cousins,New Zealand,Oceania,Thorndon CrossFit,21,180 cm,83 kg
5137,Daniel Hernandez,United States,North America West,Rushmore CrossFit,34,66 in,155 lb
5137,Josef Ludačka,Czech Republic,Europe,CrossFit České Budějovice,27,190 cm,95 kg
5139,Dominik Buchmann,Switzerland,Europe,CrossFit HelvetiX,26,182 cm,95 kg
5140,Jake Cummings,Australia,Oceania,,32,,
5141,Oscar Amren,Sweden,Europe,CrossFit Nacka,31,178 cm,72 kg
5142,hugo cicchirillo,France,Europe,CrossFit Graoully,24,180 cm,84 kg
5142,Jacob Weir,United Kingdom,Europe,KTC CrossFit,28,73 in,92 kg
5144,Vince D'Orazi,United States,North America West,Legend CrossFit,34,74 in,195 lb
5145,Jeffrey Cooper,United States,North America West,CrossFit Flora,33,75 in,250 lb
5146,Mika Pilzer,Namibia,Africa,CrossFit Damascus,17,,
5147,Amir Khan,United Kingdom,Europe,CrossFit West Yorkshire,34,186 cm,100 kg
5147,Pascal Kalberer,Switzerland,Europe,,28,179 cm,81 kg
5149,Lucas Dozzi,United States,North America East,,31,65 in,155 lb
5149,Zachary Hofer,United States,North America West,Elite CrossFit,18,69 in,170 lb
5151,George Hay,Canada,North America East,CrossFit Closer,27,69 in,199 lb
5152,Lucas Standen,Australia,Oceania,CrossFit Crossaxed,36,170 cm,83 kg
5153,Forrest Hasbrouck,United States,North America East,CrossFit Fenton,26,74 in,190 lb
5154,Minsung Kang,"Korea, Republic of",Asia,CrossFit Shooting Star,28,176 cm,74 kg
5154,Jack Ashwood,United Kingdom,Europe,CrossFit Bodmin,32,70 in,77 kg
5156,Kevin Wyzgoski,United States,North America West,West Little Rock CrossFit,34,69 in,195 lb
5157,Tatsuya Kaga,Japan,Asia,CrossFit CHOUJIN1 Yoyogi,27,176 cm,85 kg
5158,Logan Fulford,United States,North America East,IRB CrossFit,23,,
5159,mickey delnoy,Belgium,Europe,CrossFit Wild Wall,32,,
