Rank,Name,Country,Region,Affiliation,Age,Height,Weight
115,Joel Laney,United States,North America West,CrossFit Gambit,31,70 in,195 lb
117,Adam McAdams,United States,North America West,CrossFit Fort Vancouver,30,,
118,Alexander Anasagasti,Spain,Europe,CrossFit Zarautz,31,174 cm,74 kg
119,Gustavo Errico,Venezuela,South America,,25,171 cm,82 kg
120,Morteza Sedaghat,Iran,Asia,,28,172 cm,89 kg
121,Matthew Greene,United States,North America West,CrossFit Wildwood,30,73 in,225 lb
122,Oleg Lascenko,United Kingdom,Europe,,25,175 cm,92 kg
122,Jordan Hayward,United States,North America East,CrossFit Melior,29,71 in,200 lb
124,Jelle Hoste,Belgium,Europe,CrossFit Kortrijk,28,190 cm,98 kg
125,Bryan Hernández,Spain,Europe,Area CrossFit,25,169 cm,79 kg
126,Pietro Anderloni,Italy,Europe,Four Flamingos CrossFit,26,,
126,Steven Fawcett,United Kingdom,Europe,High Performance CrossFit,35,173 cm,85 kg
128,Marcello Clarizio,Canada,North America East,CrossFit de l'est,20,168 cm,170 lb
129,Sam Parkin,United Kingdom,Europe,Wakefield CrossFit,31,178 cm,188 lb
130,Daniel Kuc,United States,North America West,CrossFit OT,20,72 in,175 lb
131,Stephane Cossette,Canada,North America East,CrossFit Le Repere,34,180 cm,210 lb
132,Bruno Marins,Brazil,South America,Newin CrossFit,26,187 cm,96 kg
133,Jaison Longearet,France,Europe,CrossFit Black Wings,28,,
134,Federico Marra,Italy,Europe,CrossFit Mola di Bari,29,175 cm,86 kg
135,Travon Benton,United States,North America West,Fogo CrossFit,27,68 in,195 lb
136,Emilio Rossini,Italy,Europe,CrossFit Valax,26,,
137,Andris Sturans,United States,North America West,Hammer CrossFit East,27,69 in,190 lb
137,Emanuele Biviano,Italy,Europe,Audace CrossFit Trieste,26,,
139,Troy Clay,United States,North America East,Freedom Pointe CrossFit,25,68 in,190 lb
140,Jan Matiaska,Switzerland,Europe,CrossFit Kreis 9,28,186 cm,100 kg
141,Sven Geens,Belgium,Europe,CrossFit Merchtem,31,183 cm,93 kg
142,Luis Cuellar,Spain,Europe,,21,,
143,Kealan Henry,South Africa,Africa,CrossFit HFS,30,168 cm,80 kg
144,Garrett Clark,United States,North America East,Three Kings CrossFit,24,69 in,195 lb
145,Manuel Dobón,Spain,Europe,CrossFit El Faro,22,178 cm,79 kg
146,Kaique Cerveny,Brazil,South America,CrossFit Lago Sul,25,1 cm,96 kg
147,Rafael Sancen,Mexico,North America West,Richard Russell CrossFit Monterey Bay,28,72 in,190 lb
148,Augustin Viličnik,Croatia,Europe,,33,180 cm,97 kg
149,Logan Ewing,United States,North America West,CrossFit 970,22,71 in,205 lb
150,Esteban Ospina,Colombia,South America,Peak 360 CrossFit,22,178 cm,175 lb
151,Martin Laville,France,Europe,CrossFit Lutece,31,,
152,Seungjong Kim,"Korea, Republic of",Asia,CrossFit Heavy Base,27,175 cm,87 kg
153,Mats Cibis,Germany,Europe,CrossFit Butcher's Lab,27,176 cm,87 kg
154,Anestis Artemis,Greece,Europe,,23,,
155,Grzegorz Maraszkiewicz,Poland,Europe,,27,176 cm,90 kg
156,Bayley Martin,New Zealand,Oceania,CrossFit Selwyn,23,174 cm,82 kg
157,Willy Georges,France,Europe,WYS CrossFit,30,179 cm,88 kg
158,Eren Kim,"Korea, Republic of",Asia,CrossFit Shooting Star,30,,
