,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
15527,Roberto Peniche,CrossFit Xok Balam,,"2023 open
287th
worldwide",287th,worldwide,Men (55-59),Men (55-59),375 lb,,275 lb,425 lb,,24:20,,,12:26,,22,27:00,115 lb,
15534,Theresa Linares,Lone Star CrossFit,,,,North America,Women,,175 lb,,135 lb,210 lb,218,,5:17,7:27,13:56,,,,100 lb,
15548,Sigmar Karason,,,"2023 open
2507th
worldwide",2507th,worldwide,Men,Men (50-54),110 kg,,90 kg,150 kg,,,,,,,,,70 kg,
15552,Tim Burnett,,,,,Central East,Men,,275 lb,,175 lb,315 lb,,,,,,,,,115 lb,
15571,Frank Ciardello,Guilford CrossFit,,,,United States,Men,,365 lb,,255 lb,425 lb,,,,,,,,,195 lb,
15574,Chrissy Wollard,CrossFit Fair Oaks Ranch,,"2023 open
7930th
worldwide",7930th,worldwide,Women,Women (40-44),150 lb,,110 lb,205 lb,,,6:53,7:11,,,,,70 lb,
15585,Steven Shock,CrossFit Tough as Nails,,"2023 open
29005th
worldwide",29005th,worldwide,Men,Men,,,1000000 lb,,,,,,,,,,1000000 lb,
15601,Martin Gonzalez,CrossFit Hoka Hey,,,,West Coast,Men,,400 lb,,,435 lb,,,,,,,,,,
15609,Clent Holmes,CrossFit Citadel,,,,United States,Men,,425 lb,,225 lb,365 lb,,,6:33,,14:14,,15,,175 lb,1:18
15618,Pamela Flenke,,,,,North East,Women,,210 lb,,,265 lb,,,,,,,,,,
15621,Eggy Pavia,,,,,Mid Atlantic,Men,,375 lb,,205 lb,385 lb,,,10:01,,,,,,185 lb,
15690,Michelle Benson,CrossFit HSP,,"2023 quarterfinals
180th
worldwide",180th,worldwide,Women (55-59),Women (55-59),220 lb,46:24,145 lb,275 lb,,,5:57,3:12,10:23,,9,28:00,110 lb,9:00
15694,Jamie Semmelmann-Pawlowski,CrossFit Lake Wylie,,"2023 open
7824th
worldwide",7824th,worldwide,Women,Women (40-44),145 lb,,90 lb,150 lb,,,4:17,3:27,11:10,,7,12:41,45 lb,
15731,Justin Mills,Hyalite CrossFit,,,,West Coast,Men,,345 lb,,255 lb,425 lb,,,4:14,,,,22,,195 lb,
15747,Konstantinos Kougioumtzidis,CrossFit Main Line - Wayne,,"2023 open
25579th
worldwide",25579th,worldwide,Men,Men (35-39),225 lb,,195 lb,305 lb,,,,4:59,,,,,145 lb,
15752,Robert Mosebach,CrossFit Delray Beach,,,,North America,Men,,335 lb,,285 lb,405 lb,322,28:58,2:48,2:03,,,40,,205 lb,1:10
15756,Kelly Kidder,CrossFit Fair Oaks Ranch,,"2023 open
2376th
worldwide",2376th,worldwide,Women,Women (35-39),195 lb,,155 lb,215 lb,,,,,,,,,120 lb,
15769,Casey Scherer,Boulder Mountain CrossFit,,"2023 open
5609th
worldwide",5609th,worldwide,Men,Men (50-54),305 lb,,205 lb,435 lb,,,,3:30,,,,,145 lb,1:12
15784,Kevin Thibodeaux,,,,,South Central,Men,,455 lb,,,,,,1:15,,,,,,255 lb,
15838,Raymond Swan,CrossFit Apex,,,,United States,Men (60+),,210 lb,,150 lb,345 lb,,,,,,,,,130 lb,
