,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
15727,Evan Fleming,CrossFit No'Ala,,"2023 open
3925th
worldwide",3925th,worldwide,Men,Men (40-44),470 lb,,265 lb,510 lb,,22:18,3:07,2:23,9:15,,40,24:13,205 lb,1:04
15733,Richard Hayward,Market Town CrossFit,,"2023 open
9358th
worldwide",9358th,worldwide,Men,Men (35-39),140 kg,,105 kg,180 kg,,,5:58,,,,,,78 kg,
15734,Jim Ballentine,,,,,South East,Men,,305 lb,,215 lb,415 lb,270,,,,,,15,,155 lb,
15756,Cody Omilusik,Orchard Valley CrossFit,,"2023 open
281st
worldwide",281st,worldwide,Men,Men (35-39),396 lb,,295 lb,485 lb,377,29:30,2:07,,7:52,,,17:39,185 lb,
15776,Dee Chua,Block CrossFit,,"2023 open
4664th
worldwide",4664th,worldwide,Women,Women (35-39),205 lb,,130 lb,240 lb,,,6:31,6:44,11:30,,,,75 lb,
15782,Claudia Nunez,ZOAH 775 CrossFit,,"2023 open
8732nd
worldwide",8732nd,worldwide,Women,Women (45-49),70 lb,,,75 lb,,,,,,,10,35:00,45 lb,2:00
15813,Rie Hansen,CrossFit Bornholm,,,,Europe,Women,,100 kg,,50 kg,125 kg,,25:20,10:31,,14:10,,5,31:00,40 kg,
15829,Anne-Catherine Poças,CrossFit Mulhouse Factory,,,,Europe,Women,,77 kg,,52 kg,98 kg,,,9:40,,,,3,,50 kg,
15830,Jonathan Darnall,Arbor CrossFit,,"2023 quarterfinals
646th
worldwide",646th,worldwide,Men,Men (45-49),285 lb,,254 lb,395 lb,253,23:26,,2:11,9:14,,,,180 lb,
15861,David Coleman,CrossFit Mafia,,,,United States,Men,,290 lb,,235 lb,460 lb,301,17:16,8:30,3:19,12:20,,20,,165 lb,1:15
15864,Devin Frederick,3 Star CrossFit,,"2023 open
5314th
worldwide",5314th,worldwide,Men,Men (35-39),345 lb,,265 lb,495 lb,368,,4:58,2:47,10:46,,18,,205 lb,
15865,Kerry Weeks,Boomtown CrossFit,,"2023 open
1869th
worldwide",1869th,worldwide,Men,Men (50-54),385 lb,,235 lb,415 lb,262,,5:33,2:55,,,27,29:59,185 lb,3:24
15869,Morgan O’Brien,CrossFit Harpoon,,,,North America East,Women,,240 lb,,200 lb,285 lb,,,,3:03,,,,,140 lb,1:05
15875,Victoria Muscolino,,,,,North East,Women,,230 lb,,170 lb,245 lb,,,4:45,,,,25,,130 lb,
15882,Anne Emmerich,CrossFit Now,,,,South West,Women,,205 lb,,125 lb,240 lb,,28:32,5:49,3:57,11:48,,,,105 lb,
15900,Heidi Childers Jones,,,,,North Central,Women,,180 lb,,115 lb,210 lb,,,,,,,1,,,
15909,Jimmy Gustafsson,CrossFit Fabriken Västerbro,,"2023 open
3273rd
worldwide",3273rd,worldwide,Men,Men (45-49),135 kg,,95 kg,165 kg,,,5:29,,,,,,75 kg,
15914,Robert Bizzell,Mako CrossFit,,"2023 open
2552nd
worldwide",2552nd,worldwide,Men (55-59),Men (55-59),240 lb,,155 lb,325 lb,,32:14,,,,,14,29:05,105 lb,
15945,Brian Wallace,Turbo CrossFit,,"2023 open
3930th
worldwide",3930th,worldwide,Men,Men (40-44),,,,,,,,,,,,22:42,,
15967,Mike Paquette,CrossFit Wildwood,,"2023 open
179th
worldwide",179th,worldwide,Men (60-64),Men (60-64),305 lb,,180 lb,355 lb,,,,4:31,,,23,,130 lb,
15973,Melissa Romanos,Turbo CrossFit,,"2023 open
14941st
worldwide",14941st,worldwide,Women,Women (35-39),200 lb,,140 lb,225 lb,,,5:23,,9:43,,,24:10,105 lb,
15974,Alison Naile,CrossFit MetroEast,,"2023 quarterfinals
1637th
North America East",1637th,North America East,Women,Women,235 lb,,170 lb,275 lb,,24:42,4:00,2:34,9:52,,10,26:05,120 lb,1:25
15983,Mary-Ann Moerman,,,,,,,,91 kg,,,124 kg,,,,,,,,28:45,,
15988,Mary Helen Saunders,CrossFit Invigorate,,"2023 semifinals
48th
worldwide",48th,worldwide,Women,Women,270 lb,,200 lb,300 lb,,,2:42,,,,,,170 lb,
15990,Stone Roshell,Queen City CrossFit,,"2023 open
33765th
worldwide",33765th,worldwide,Men,Men,415 lb,,315 lb,455 lb,,,4:28,2:23,,,,26:30,245 lb,
15998,Davieionna Campbell,,,,,South East,Women,,220 lb,,170 lb,260 lb,,,8:01,,12:05,,34,,130 lb,
16021,Heather Steinberger,CrossFit Embrace,,,,North America East,Women,,,,,,,,5:50,,,,,23:12,,
16030,Bronti Rl,,,,,Latin America,Men,,385 lb,,255 lb,420 lb,,,,,,,,,180 lb,
16044,Bethany Adlong,,,,,South Central,Women,,315 lb,,135 lb,275 lb,,,,,,,,,110 lb,
16049,Jan Chow,,,,,South Central,Men,,315 lb,,225 lb,420 lb,,,,,,,,,155 lb,
16056,Peter Rinhammar,CrossFit Ibex,,,,Europe,Men,,135 kg,,,150 kg,,,,,,,,,,
16076,Tim McGinnis,Placer CrossFit,,"2023 open
1935th
worldwide",1935th,worldwide,Men,Men (45-49),340 lb,,225 lb,410 lb,,,,,,,,,185 lb,
16078,Brett Blackstock,,,,,Canada West,Men,,,,,405 lb,,,6:37,,,,,,,
16081,Anthony Gomes,CrossFit Corsaire,,,,Europe South,Men,,170 kg,,130 kg,200 kg,,,,2:43,,,,,100 kg,
16117,Chadre Jansen van Rensburg,CrossFit Potchefstroom,,,,Africa Middle East,Women,,67 kg,,45 kg,97 kg,,,,,,,,,30 kg,
16173,Ropati Avaemai,,,,,Australia,Men,,150 kg,,130 kg,215 kg,,24:11,2:45,2:30,7:34,,50,,95 kg,0:55
16200,Batuque Iribarren,CrossFit Tuluka Nuñez,,,,Argentina,Men,,200 kg,,140 kg,230 kg,,,2:06,1:57,7:25,,65,19:47,120 kg,
16203,Layla Guelli,CrossFit Siam,,,,Europe,Women,,,,,85 kg,,,,,,,,,,
16208,Suzanne Shields,,,,,Southern California,Women,,245 lb,,175 lb,315 lb,,,,,,,,,115 lb,
16213,Dee Greene,CrossFit Shelby,,"2023 open
744th
worldwide",744th,worldwide,Women,Women (50-54),170 lb,,120 lb,200 lb,,,8:40,7:25,12:05,,,27:00,80 lb,
16254,Jennifer O'Connor,CrossFit Takeover,,,,North America,Women,,175 lb,,105 lb,215 lb,240,,6:54,,11:08,,,,80 lb,
16264,Oscar Martinez,,,,,Latin America,Men,,295 lb,,225 lb,405 lb,,,5:20,3:45,,,41,23:30,175 lb,
16271,Lee Aiken,CrossFit Upshot,,,,South Central,Men,,315 lb,,225 lb,435 lb,,,6:33,5:11,,,,,180 lb,
16273,Jason Christie,Sheepdog CrossFit,,,,North America West,Men,,395 lb,,275 lb,400 lb,,,3:08,,10:03,,,,185 lb,
16274,Dwight Paul,,,"2023 open
4220th
worldwide",4220th,worldwide,Men (55-59),Men (55-59),405 lb,,205 lb,385 lb,,,,,,,,,165 lb,
16282,Jorge del Valle,CrossFit Rise Above,,,,North America,Men,,275 lb,,205 lb,315 lb,304,24:10,5:40,5:56,8:21,,,20:08,165 lb,1:00
16333,Ian McLaughlin,CrossFit T1,,,,North America East,Men,,325 lb,,195 lb,345 lb,265,,6:52,5:35,10:09,,,21:34,155 lb,1:15
16334,Victoria Beam,CrossFit Rife,,,,North America,Women,,185 lb,,125 lb,255 lb,333,19:18,4:10,3:07,9:21,,35,,100 lb,1:20
16364,Brooke Long,NoCoast CrossFit,,,,United States,Women,,220 lb,,155 lb,260 lb,,,,2:33,,,,,115 lb,
16377,Barry Tippmann,CrossFit 4185,,,,North America,Men,,350 lb,,215 lb,385 lb,,,12:05,4:44,,,,32:25,150 lb,1:18
16389,Katie Bragnalo,CrossFit COL,,,,North America East,Women,,230 lb,,160 lb,275 lb,,,6:17,2:34,,,,28:45,125 lb,
16405,Jessica Hartmann,StoneWay CrossFit,,,,United States,Women,,270 lb,,135 lb,300 lb,,,,,,,,,105 lb,
16448,Kristi Dubois,Reebok CrossFit Coastal Carolina,,,,United States,Women,,195 lb,,132 lb,275 lb,258,28:50,5:50,4:10,10:56,,,28:00,90 lb,
16470,Jacob Kuiken,CrossFit Vernon,,,,North America,Men,,375 lb,,225 lb,485 lb,,,6:47,,,,20,,165 lb,
16483,Victor Castaner,Southern Boom CrossFit,,"2023 open
33108th
worldwide",33108th,worldwide,Men,Men,425 lb,,280 lb,445 lb,,,,,,,,,210 lb,
16488,Leonie Patrys Coetzee,CrossFit Charisma,,,,South Africa,Women,,95 kg,,60 kg,120 kg,,,,,,,,25:30,49 kg,
16492,Chris Matusek,CrossFit Apex,,"2023 open
2112th
worldwide",2112th,worldwide,Men,Men (45-49),,,155 lb,,,,,,,,,,,
16496,Chris LaRocco,CrossFit Addison,,"2023 open
5714th
worldwide",5714th,worldwide,Men,Men (40-44),315 lb,,255 lb,425 lb,,,,,,,,,195 lb,
16501,Damon Rideau,CrossFit Lifted,,,,United States,Men,,425 lb,,320 lb,465 lb,,,2:15,1:48,,,46,20:36,250 lb,
16529,Megan Finn,,,,,North Central,Women,,225 lb,,,300 lb,,,,,,,,,,
16533,Jaime Sauceda,CrossFit Groundbreakers,,"2023 open
24443rd
worldwide",24443rd,worldwide,Men,Men,375 lb,,265 lb,475 lb,,28:50,3:51,2:11,10:30,,,,205 lb,
16538,Neil Chapman,LN CrossFit,,"2023 open
2316th
worldwide",2316th,worldwide,Men,Men (45-49),100 kg,,70 kg,150 kg,,,,,,,,,55 kg,
16557,Pierre Rofail,Element CrossFit,,,,Canada East,Men,,215 lb,,170 lb,320 lb,,,,,,,,,95 lb,
16573,Tyler Anderson,CrossFit Athlete Lab,,,,North Central,Men,,315 lb,,245 lb,385 lb,344,,3:10,,8:33,,49,,200 lb,1:08
