pc11_state_id,pc11_district_id,new_cases,new_deaths,total_cases,total_deaths,date
01,007,0,0,0,0,18mar2020
01,007,0,0,0,0,19mar2020
01,007,0,0,0,0,20mar2020
01,007,0,0,0,0,21mar2020
01,007,0,0,0,0,22mar2020
01,007,0,0,0,0,23mar2020
01,007,0,0,0,0,24mar2020
01,007,0,0,0,0,25mar2020
01,007,0,0,0,0,26mar2020
01,007,0,0,0,0,27mar2020
01,007,0,0,0,0,28mar2020
01,007,0,0,0,0,29mar2020
01,007,0,0,0,0,30mar2020
01,007,0,0,0,0,31mar2020
01,007,0,0,0,0,01apr2020
01,007,0,0,0,0,02apr2020
01,007,0,0,0,0,03apr2020
01,007,0,0,0,0,04apr2020
01,007,0,0,0,0,05apr2020
01,007,0,0,0,0,06apr2020
01,007,0,0,0,0,07apr2020
01,007,0,0,0,0,08apr2020
01,007,0,0,0,0,09apr2020
01,007,0,0,0,0,10apr2020
01,007,0,0,0,0,11apr2020
01,007,0,0,0,0,12apr2020
01,007,0,0,0,0,13apr2020
01,007,0,0,0,0,14apr2020
01,007,0,0,0,0,15apr2020
01,007,0,0,0,0,16apr2020
01,007,0,0,0,0,17apr2020
01,007,0,0,0,0,18apr2020
01,007,0,0,0,0,19apr2020
01,007,0,0,0,0,20apr2020
01,007,1,0,1,0,21apr2020
01,007,0,0,1,0,22apr2020
01,007,0,0,1,0,23apr2020
01,007,0,0,1,0,24apr2020
01,007,0,0,1,0,25apr2020
01,007,0,0,1,0,26apr2020
01,008,0,0,0,0,30jan2020
01,008,0,0,0,0,02feb2020
01,008,0,0,0,0,03feb2020
01,008,0,0,0,0,02mar2020
01,008,0,0,0,0,03mar2020
01,008,0,0,0,0,04mar2020
01,008,0,0,0,0,05mar2020
01,008,0,0,0,0,06mar2020
01,008,0,0,0,0,07mar2020
01,008,0,0,0,0,08mar2020
01,008,0,0,0,0,09mar2020
01,008,0,0,0,0,10mar2020
01,008,0,0,0,0,11mar2020
01,008,0,0,0,0,12mar2020
01,008,0,0,0,0,13mar2020
01,008,0,0,0,0,14mar2020
01,008,0,0,0,0,15mar2020
01,008,0,0,0,0,16mar2020
01,008,0,0,0,0,17mar2020
01,008,0,0,0,0,18mar2020
01,008,0,0,0,0,19mar2020
01,008,0,0,0,0,20mar2020
01,008,0,0,0,0,21mar2020
01,008,0,0,0,0,22mar2020
01,008,0,0,0,0,23mar2020
01,008,0,0,0,0,24mar2020
01,008,0,0,0,0,25mar2020
01,008,0,0,0,0,26mar2020
01,008,0,0,0,0,27mar2020
01,008,0,0,0,0,28mar2020
01,008,0,0,0,0,29mar2020
01,008,0,0,0,0,30mar2020
01,008,0,0,0,0,31mar2020
01,008,0,0,0,0,01apr2020
01,008,0,0,0,0,02apr2020
01,008,0,0,0,0,03apr2020
01,008,0,0,0,0,04apr2020
01,008,0,0,0,0,05apr2020
01,008,0,0,0,0,06apr2020
01,008,0,0,0,0,07apr2020
01,008,0,0,0,0,08apr2020
01,008,0,0,0,0,09apr2020
01,008,0,0,0,0,10apr2020
01,008,0,0,0,0,11apr2020
01,008,0,0,0,0,12apr2020
01,008,0,0,0,0,13apr2020
01,008,0,0,0,0,14apr2020
01,008,0,0,0,0,15apr2020
01,008,0,0,0,0,16apr2020
01,008,0,1,0,1,17apr2020
01,008,0,0,0,1,18apr2020
01,008,0,0,0,1,19apr2020
01,008,0,0,0,1,20apr2020
01,008,1,0,1,1,21apr2020
01,008,2,0,3,1,22apr2020
01,008,3,0,6,1,23apr2020
01,008,2,0,8,1,24apr2020
01,008,3,1,11,2,25apr2020
01,008,7,0,18,2,26apr2020
01,009,0,0,0,0,30jan2020
01,009,0,0,0,0,02feb2020
01,009,0,0,0,0,03feb2020
01,009,0,0,0,0,02mar2020
01,009,0,0,0,0,03mar2020
01,009,0,0,0,0,04mar2020
01,009,0,0,0,0,05mar2020
01,009,0,0,0,0,06mar2020
01,009,0,0,0,0,07mar2020
01,009,0,0,0,0,08mar2020
01,009,0,0,0,0,09mar2020
01,009,0,0,0,0,10mar2020
01,009,0,0,0,0,11mar2020
01,009,0,0,0,0,12mar2020
01,009,0,0,0,0,13mar2020
01,009,0,0,0,0,14mar2020
01,009,0,0,0,0,15mar2020
01,009,0,0,0,0,16mar2020
01,009,0,0,0,0,17mar2020
01,009,0,0,0,0,18mar2020
01,009,0,0,0,0,19mar2020
01,009,0,0,0,0,20mar2020
01,009,0,0,0,0,21mar2020
01,009,0,0,0,0,22mar2020
01,009,0,0,0,0,23mar2020
01,009,1,0,1,0,24mar2020
01,009,4,0,5,0,25mar2020
01,009,0,0,5,0,26mar2020
01,009,0,0,5,0,27mar2020
01,009,4,0,9,0,28mar2020
01,009,0,0,9,0,29mar2020
01,009,3,0,12,0,30mar2020
01,009,0,0,12,0,31mar2020
01,009,7,0,19,0,01apr2020
01,009,8,0,27,0,02apr2020
01,009,3,0,30,0,03apr2020
01,009,9,0,39,0,04apr2020
01,009,0,0,39,0,05apr2020
01,009,0,0,39,0,06apr2020
01,009,0,1,39,1,07apr2020
01,009,0,0,39,1,08apr2020
01,009,0,0,39,1,09apr2020
01,009,0,0,39,1,10apr2020
01,009,3,0,42,1,11apr2020
01,009,0,0,42,1,12apr2020
01,009,9,0,51,1,13apr2020
01,009,2,0,53,1,14apr2020
01,009,3,0,56,1,15apr2020
01,009,10,0,66,1,16apr2020
01,009,9,0,75,1,17apr2020
01,009,5,0,80,1,18apr2020
01,009,4,0,84,1,19apr2020
01,009,7,0,91,1,20apr2020
01,009,0,0,91,1,21apr2020
01,009,6,0,97,1,22apr2020
01,009,2,0,99,1,23apr2020
01,009,9,0,108,1,24apr2020
01,009,8,0,116,1,25apr2020
01,009,8,0,124,1,26apr2020
01,010,0,0,0,0,30jan2020
01,010,0,0,0,0,02feb2020
01,010,0,0,0,0,03feb2020
01,010,0,0,0,0,02mar2020
01,010,0,0,0,0,03mar2020
01,010,0,0,0,0,04mar2020
01,010,0,0,0,0,05mar2020
01,010,0,0,0,0,06mar2020
01,010,0,0,0,0,07mar2020
01,010,0,0,0,0,08mar2020
01,010,0,0,0,0,09mar2020
01,010,0,0,0,0,10mar2020
01,010,0,0,0,0,11mar2020
01,010,0,0,0,0,12mar2020
01,010,0,0,0,0,13mar2020
01,010,0,0,0,0,14mar2020
01,010,0,0,0,0,15mar2020
01,010,0,0,0,0,16mar2020
01,010,0,0,0,0,17mar2020
01,010,1,0,1,0,18mar2020
01,010,0,0,1,0,19mar2020
01,010,0,0,1,0,20mar2020
01,010,0,0,1,0,21mar2020
01,010,0,0,1,0,22mar2020
01,010,0,0,1,0,23mar2020
01,010,1,0,2,0,24mar2020
01,010,1,0,3,0,25mar2020
01,010,2,0,5,0,26mar2020
01,010,4,0,9,0,27mar2020
01,010,6,0,15,0,28mar2020
01,010,2,0,17,0,29mar2020
01,010,3,0,20,0,30mar2020
01,010,6,0,26,0,31mar2020
01,010,0,0,26,0,01apr2020
01,010,0,0,26,0,02apr2020
01,010,0,0,26,0,03apr2020
01,010,0,0,26,0,04apr2020
01,010,0,0,26,0,05apr2020
01,010,0,0,26,0,06apr2020
01,010,9,0,35,0,07apr2020
01,010,11,0,46,0,08apr2020
01,010,0,0,46,0,09apr2020
01,010,0,0,46,0,10apr2020
01,010,9,0,55,0,11apr2020
01,010,2,0,57,0,12apr2020
01,010,12,0,69,0,13apr2020
01,010,4,0,73,0,14apr2020
01,010,3,0,76,0,15apr2020
01,010,2,0,78,0,16apr2020
01,010,0,0,78,0,17apr2020
01,010,0,0,78,0,18apr2020
01,010,1,0,79,0,19apr2020
01,010,0,0,79,0,20apr2020
01,010,0,0,79,0,21apr2020
01,010,0,0,79,0,22apr2020
01,010,0,0,79,0,23apr2020
01,010,0,0,79,0,24apr2020
01,010,4,0,83,0,25apr2020
01,010,2,0,85,0,26apr2020
01,011,0,0,0,0,30jan2020
01,011,0,0,0,0,02feb2020
01,011,0,0,0,0,03feb2020
01,011,0,0,0,0,02mar2020
