Athlete,Affiliate,Country,Region,Division,Rank,Games_Level,Qualifier,Back Squat (lbs),Clean and Jerk (lbs),Deadlift (lbs),Snatch (lbs),Fight Gone Bad,Max Pull-ups,Chad1000x (s),L1 Benchmark (s),Filthy 50 (s),Fran (s),Grace (s),Helen (s),Run 5k (s),Sprint 400m (s)
Gaston Bermejo,,,worldwide,Men,19790,worldwide,open,308.6468,264.5544,396.8316,187.3927,,65,,,,160,,,1424,
Chris Teodori,Wells Street CrossFit,,worldwide,Men,19792,worldwide,open,370,285,465,205,349,,,,1302,179,170,526,,
Lauren Newell,Sweat Factory CrossFit,,worldwide,Women,19794,worldwide,open,260,195,335,140,,25,,,,332,159,,,
Kim-André Persson,CrossFit Walleye,,worldwide,Men,19796,worldwide,open,385.8085,275.5775,522.49494,231.4851,274,30,,,1595,212,165,576,1330,80
Davis Elkins,Big River CrossFit,,worldwide,Men,19797,worldwide,open,410,285,450,215,305,,,,,170,,,1676,91
Kristin Corley,CrossFit MIA,,worldwide,Women,19802,worldwide,open,,205,,150,,,,,,221,,,,
Kathryn Haught,Southern Pines CrossFit,,worldwide,Women,19804,worldwide,open,225,175,,140,,,,,,,,,,
Jose Valdez,Brau Athletics CrossFit,,worldwide,Men,19810,worldwide,open,325,300,425,235,,23,,,,222,,,1887,
Bryan Kieffer,BF CrossFit,,worldwide,Men,19813,worldwide,open,264.5544,143.3003,308.6468,99.2079,,7,,,,,,,1258,86
Angela Singleton,CrossFit 606,,worldwide,Women,19813,worldwide,open,200,175,275,115,312,15,,,,305,152,729,,102
Karla Viteri,,,worldwide,Women,19815,worldwide,open,,,,,,,,,,,,,1500,
Jenni Erola,CrossFit Harka,,worldwide,Women,19818,worldwide,open,253.5313,165.3465,264.5544,121.2541,,,,,,,,,,
Betsy Santoyo,Paradiso CrossFit,,worldwide,Women,19824,worldwide,open,170,95,190,,,,,,,,,,,
Janice Pagdilao,CrossFit AllStar,,worldwide,Women,19831,worldwide,open,220,145,300,112,,,,,,,,,,
Minji Kim,CrossFit Cheongna,,worldwide,Women,19835,worldwide,open,225,155,265,120,,20,,,1332,368,,,,
Charlie Peanuts,,,worldwide,Men,19843,worldwide,open,400,265,500,200,310,32,,,,210,209,599,1320,
Rebecca Akdemir,CrossFit Minerva,,worldwide,Women,19854,worldwide,open,242.5082,198.4158,341.7161,171.96036,301,25,,,1767,280,163,683,,101
Robert Olivieri,CrossFit Defined,,worldwide,Men,19857,worldwide,open,250,195,,135,,,,,,,,,,
Ofir Binenboim,CrossFit Blend,,worldwide,Men,19859,worldwide,open,330.693,275.5775,451.9471,220.462,,,,,,270,,,,
Cj Ashford,CrossFit Barboursville,,worldwide,Women,19862,worldwide,open,285,185,310,145,,38,,,,209,136,,1298,79
Jane Van der Merwe,CrossFit PBM,,worldwide,Women,19873,worldwide,open,220.462,154.3234,231.4851,121.2541,,,,,,352,,,,
Demi Lee,Ocean Fitness CrossFit,,worldwide,Women,19877,worldwide,open,224.87124,149.91416,,,,,,,,,,,,
Garrett Werner,Tacoma CrossFit,,worldwide,Men,19879,worldwide,open,,267,452,210,,,,,,,,,,
Sarah Lynch,CrossFit Midgard Z-Fit,,worldwide,Women,19906,worldwide,open,215,155,305,115,,25,,,,390,,585,1800,85
Justine Mixter,CrossFit East Providence,,worldwide,Women,19908,worldwide,open,235,165,265,120,321,1,,,,,252,,1389,89
Casey Greig,CrossFit Kia Kaha,,worldwide,Women,19916,worldwide,open,220.462,143.3003,297.6237,127.86796,,,,,,,,,,
Aaron Scott,CrossFit Structure,,worldwide,Men,19931,worldwide,open,360,270,430,205,,,,,,152,,,1228,
Philip Martino,CrossFit Hard Gainers,,worldwide,Men,19940,worldwide,open,365,235,385,190,296,,,,,349,237,,,
James Craven,CrossFit 1620,,worldwide,Men,19942,worldwide,open,350,275,350,205,,,,,,,,,,
Robert Trolinger,CrossFit Taylors,,worldwide,Men,19945,worldwide,open,315,255,390,210,,,,,,277,159,,,
Pierre Theisse,CrossFit 571,,worldwide,Men,19946,worldwide,open,308.6468,264.5544,396.8316,198.4158,,36,,,,,189,,,60
Andy Machado,Caution CrossFit Miami Lakes,,worldwide,Men,19949,worldwide,open,335,260,410,195,,55,,,,125,130,440,1140,
Kami Barab,CrossFit Type 44,,worldwide,Women,19963,worldwide,open,205,165,250,110,,,,,,454,227,809,,
Kyler Boucher,CrossFit 801,,worldwide,Men,19970,worldwide,open,405,305,435,240,,37,,,,138,,,,
Birna Almarsdottir,CrossFit Hengill,,worldwide,Women,19972,worldwide,open,205.02966,165.3465,227.07586,138.89106,,,,,,,,,,
Kevin Anderson,Be CrossFit,,worldwide,Men,19978,worldwide,open,325,285,435,225,355,55,,,1118,170,139,497,,61
Nathalie Crawford,CrossFit Salmon Arm,,worldwide,Women,19990,worldwide,open,235,185,315,150,,,,,,,,,,
Layton Dameron,Teton CrossFit,,worldwide,Men,19999,worldwide,open,365,245,405,205,,,,,,,,,,
Hannah Muurisepp,CrossFit Versatile,,worldwide,Women,20007,worldwide,open,265,160,300,135,,,,,,,,,,
Amelie Gagne,CrossFit Quebec City,,worldwide,Women,20014,worldwide,open,225,175,275,140,,20,,,,310,,,1680,
Matthew Ahrens,CrossFit Elmhurst,,worldwide,Men,20016,worldwide,open,375,235,435,175,306,35,,,1273,203,145,,1367,58
Jacob Salaba,,,worldwide,Men,20049,worldwide,open,385,290,455,245,,,,,,120,107,557,,
Tanya Neethling,CrossFit Eikestad,,worldwide,Women,20055,worldwide,open,,,,,,,,,,,,,,
Erin Mailman,CrossFit 212 The Extra Degree,,worldwide,Men,20056,worldwide,open,385,,450,215,,18,,,,157,,,1380,
Steven Cesare,,,worldwide,Men,20068,worldwide,open,370,300,435,225,,,,,,,,,,
Eric Smith,CrossFit Darmstadt,,worldwide,Men,20072,worldwide,open,360,255,455,205,,50,,,,228,261,718,,
Nadia Roos-Karides,,,worldwide,Women,20077,worldwide,open,264.5544,187.3927,308.6468,154.3234,318,,,,,252,257,790,2100,110
Armando Santos,CrossFit MLL,,worldwide,Men,20081,worldwide,open,440,320,500,260,,,,,,,,,,
Christopher Clements,CrossFit Hershey,,worldwide,Men,20102,worldwide,open,405,280,430,207,,27,,,,,,,1410,
Tatiane Brusch,CrossFit Barigui,,worldwide,Women,20121,worldwide,open,178,115,205,83,,11,,,,394,,,1607,
Lukas Masar,,,worldwide,Men,20122,worldwide,open,485.0164,352.7392,573.2012,253.5313,,,,,,134,,,,
Cian Scott,CrossFit New West,,worldwide,Men,20123,worldwide,open,410,286,455,210,,,,,,,,523,,
Hyeon Gwan Hong,CrossFit Ole,,worldwide,Men,20133,worldwide,open,352.7392,286.6006,440.924,242.5082,,50,,,,179,,596,,
Erlend Gjersdal,Aarhus CrossFit,,worldwide,Men,20134,worldwide,open,308.6468,264.5544,396.8316,211.64352,,,,,,,185,,,
Robert Skinner,CrossFit Fareham,,worldwide,Men,20153,worldwide,open,440.924,330.693,485.0164,264.5544,,,,,,207,132,582,,
Riley Calanchini,CrossFit Solid Core,,worldwide,Men,20170,worldwide,open,340,245,,225,,,,,,161,145,611,,
Thomas McBride,CrossFit Ko'olau,,worldwide,Men,20172,worldwide,open,410,315,515,285,,,,,,,,,,
Emily Farris,Spindle City CrossFit,,worldwide,Women,20178,worldwide,open,185,145,,120,,,,,,,,,,
Julien Omar,La Fournaise CrossFit,,worldwide,Men,20189,worldwide,open,440.924,313.05604,473.9933,253.5313,,,,,,258,,,,
Jacob Johnson,Horse Country CrossFit,,worldwide,Men,20189,worldwide,open,355,285,405,225,,,,,,240,178,,,
Shenny Tempest-Roe,CrossFit Tooting,,worldwide,Women,20194,worldwide,open,209.4389,143.3003,275.5775,110.231,,7,,,,,,,1420,
Alec Stuard,CrossFit Gaspar,,worldwide,Men,20196,worldwide,open,365,300,420,215,,40,,,,152,116,525,,
Kariann Lee,RCF CrossFit,,worldwide,Women,20200,worldwide,open,192,155,265,120,,20,,,,346,,,1756,
Cameron Gilmore,,,worldwide,Men,20219,worldwide,open,220.462,165.3465,341.7161,154.3234,,,,,,,,536,,80
Samantha Heppe,CrossFit Yuma,,worldwide,Women,20227,worldwide,open,315,195,325,155,,,,,,,,,,
David Mew,CrossFit Hartlepool,,worldwide,Men,20230,worldwide,open,319.6699,264.5544,374.7854,209.4389,,,,,,,,,,
Thomas De Berardini,CrossFit Settimo San Pietro,,worldwide,Men,20231,worldwide,open,330.693,264.5544,440.924,209.4389,,,,,,,,,1325,70
Adam Vanner,CrossFit Dunedin,,worldwide,Men,20232,worldwide,open,451.9471,,,,,,,,,,,,,
Ashley Capparelli,CrossFit Stealth,,worldwide,Women,20234,worldwide,open,260.14516,189.59732,266.75902,163.14188,263,,,,,,205,,1601,74
Rachelle Davis,,,worldwide,Women,20247,worldwide,open,245,175,315,145,,,,,,179,,,,
Paul Zogbi,CrossFit Kirrawee,,worldwide,Men,20251,worldwide,open,330.693,268.96364,403.44546,180.77884,,,,,,,,,,
Mason Bandre,CrossFit 209 Sport,,worldwide,Men,20254,worldwide,open,365,275,405,230,429,41,,,979,175,,,,69
Tiffany McRae,Carolina CrossFit,,worldwide,Women,20258,worldwide,open,205,,,,,,,,,,,,,
Brandon Bauer,CrossFit GenGym,,worldwide,Men,20278,worldwide,open,410,300,500,235,,30,,,,196,128,,,
Celeste Malham,Carpe Diem CrossFit,,worldwide,Women,20284,worldwide,open,220,175,310,110,,30,,,,,265,,,
Sam Najafi,Fort to Fort CrossFit,,worldwide,Men,20284,worldwide,open,315,245,420,185,286,38,,,,262,181,511,1419,74
Jessica Baier,,,worldwide,Women,20291,worldwide,open,178.57422,132.2772,264.5544,99.2079,383,10,,,,338,,,,
Miranda Timmons,Lock 22 CrossFit,,worldwide,Women,20294,worldwide,open,235,175,245,110,,,,,,,266,,,
Antonio Bisazza,CrossFit Octoduria,,worldwide,Men,20297,worldwide,open,381.39926,253.5313,485.0164,180.77884,,,,,,,,,,
Pauline Grasset,CrossFit Uzurat,,worldwide,Women,20301,worldwide,open,176.3696,143.3003,286.6006,110.231,,25,,,,360,200,,1500,
Kennedy Harding,,,worldwide,Women,20302,worldwide,open,300,198,330,160,,22,,,,432,189,667,1865,
Rebecca Smith,CrossFit BFG,,worldwide,Women,20307,worldwide,open,154.3234,143.3003,242.5082,110.231,,20,,,,,321,962,2019,130
Matthew Ritzlmayr,CrossFit Sunninghill,,worldwide,Men,20308,worldwide,open,341.7161,286.6006,407.8547,242.5082,347,38,,,,151,,509,,
Gareth Morgan,CrossFit C2F,,worldwide,Men,20322,worldwide,open,396.8316,253.5313,473.9933,176.3696,,,,,,178,,,,
Ashley Martinez,CrossFit Wild West,,worldwide,Women,20330,worldwide,open,245,165,285,130,,,,,,,,,,
Shannon Cole,CrossFit East Nashville,,worldwide,Women,20338,worldwide,open,210,155,270,115,311,,,,,,225,,,
Landon Hansch,CrossFit 307,,worldwide,Men,20346,worldwide,open,335,265,425,225,,65,,,,140,,,1125,57
Christopher Olivarez,Shotgun CrossFit,,worldwide,Men,20365,worldwide,open,415,325,500,265,,,,,,,146,,,
Paul Schecklman,Foremost CrossFit,,worldwide,Men,20388,worldwide,open,460,345,575,255,,49,,,,156,110,,1280,
Taylor Lauck,NCFIT CrossFit,,worldwide,Men,20390,worldwide,open,360,275,440,235,391,,,,,149,130,473,,
Kenia Chavez,CrossFit Fibonacci,,worldwide,Women,20398,worldwide,open,215,140,275,105,,10,,,,,,,,
Daniel Pavia,,,worldwide,Men,20411,worldwide,open,345,285,445,245,,40,,,,220,151,832,,
Curtis Taylor,CrossFit Hydro,,worldwide,Men,20415,worldwide,open,385,250,435,192,,,,,,335,,,,49
Rafael Rivera,CrossFit Southie,,worldwide,Men,20429,worldwide,open,350,265,400,215,,,,,,,,,,
Martin Vazquez,FCL CrossFit,,worldwide,Men,20433,worldwide,open,415,315,475,245,347,45,,,1408,150,97,540,1380,
Sabrina Lopez,CrossFit Chüniz,,worldwide,Women,20435,worldwide,open,205.02966,138.89106,299.82832,94.79866,,21,,,,358,221,,,
Eirik Gudmestad,CrossFit Thime,,worldwide,Men,20446,worldwide,open,330.693,253.5313,462.9702,207.23428,,38,,,,,,,,
Matthew Parrish,CrossFit Rogers,,worldwide,Men,20455,worldwide,open,345,275,445,230,,,,,,210,,,,
Kim Hubrich,CrossFit IN Town,,worldwide,Women,20471,worldwide,open,220.462,165.3465,315.26066,99.2079,,,,,,,,,,
Kevin Bell,,,worldwide,Men,20474,worldwide,open,375,275,445,225,433,60,,,994,136,,417,,
Cody Conner,CrossFit Nerve,,worldwide,Men,20475,worldwide,open,405,,425,,,,,,,186,,,,
Zachary Jones,Boise CrossFit,,worldwide,Men,20475,worldwide,open,367,305,460,231,324,30,,,1338,225,114,553,1314,
Clement Richardeau,CrossFit Asterion,,worldwide,Men,20488,worldwide,open,264.5544,253.5313,396.8316,165.3465,308,24,,,,326,165,612,1377,
Javier Santos,Strong Suit CrossFit,,worldwide,Men,20490,worldwide,open,450,300,455,200,,35,,,,,155,600,1005,
Aida Rodriguez,Speck CrossFit CCS,,worldwide,Women,20493,worldwide,open,225,165,295,145,,42,,,,150,900,,2060,91
Tania Dube Timmons,,,worldwide,Women,20556,worldwide,open,285,205,325,155,,,,,1425,256,157,,1680,110
Robin Favretto,La Horde CrossFit,,worldwide,Men,20566,worldwide,open,297.6237,231.4851,363.7623,198.4158,254,66,,,,177,163,,,
Mukti Correa,CrossFit Duo,,worldwide,Men,20578,worldwide,open,385,305,,230,,18,,,,,,,,
Ruben Pacheco,North Call CrossFit,,worldwide,Men,20587,worldwide,open,297.6237,253.5313,462.9702,187.3927,,28,,,,427,205,769,1598,84
Trent Mann,Four Barrel CrossFit,,worldwide,Men,20588,worldwide,open,350,235,405,165,,46,,,,202,155,540,1346,62
John Tsai,CrossFit Sulphur Springs,,worldwide,Men,20607,worldwide,open,350,260,455,210,,46,,,,183,198,,,
Daniel Brooks,,,worldwide,Men,20628,worldwide,open,365,285,425,215,,,,,,,145,,,
Xavier Anton,CrossFit Des Monts,,worldwide,Men,20637,worldwide,open,308.6468,275.5775,352.7392,209.4389,,,,,,,,,,
Stuart Pearson,CrossFit Kemptville,,worldwide,Men,20640,worldwide,open,,,,,,,,,,217,,,,47
Chris Thomas,J5 CrossFit,,worldwide,Men,20648,worldwide,open,395,315,415,260,319,44,,,1613,170,129,515,1410,
Patrick Deasy,CrossFit Active Movement,,worldwide,Men,20666,worldwide,open,350,275,405,230,388,62,,,,150,127,471,1232,64
Dakota Wallace,Camel City CrossFit,,worldwide,Men,20668,worldwide,open,485,305,505,250,,,,,,,,,,
Leandro Almeida,,,worldwide,Men,20670,worldwide,open,308,253,404,187,,38,,,,,,,,83
Guilherme Monesi,CrossFit Catanduva,,worldwide,Men,20674,worldwide,open,291.00984,231.4851,352.7392,198.4158,259,,,,,214,169,516,1916,88
Mike Ward,CrossFit Celsius,,worldwide,Men,20683,worldwide,open,350,265,410,229,,,,,,,,493,,
Tristan Hoffmann,Black Fin CrossFit,,worldwide,Men,20698,worldwide,open,385,305,455,270,,60,,,,149,,453,,60
Lachlan Thompson,CrossFit Confront,,worldwide,Men,20699,worldwide,open,363.7623,264.5544,407.8547,198.4158,,,,,,216,,569,,
Tanguy Henchoz,CrossFit Wild Mountain,,worldwide,Men,20716,worldwide,open,374.7854,275.5775,451.9471,209.4389,,,,,,208,132,,,
Rockwell Peterson,CrossFit Holly Springs,,worldwide,Men,20725,worldwide,open,435,245,480,215,,30,,,,218,243,609,,
Colleen Bohnert,Crystal Coast CrossFit,,worldwide,Women,20776,worldwide,open,190,150,285,,,,,,,355,,,,
Brynja Halldórsdóttir,CrossFit Reykjavík,,worldwide,Women,20789,worldwide,open,187.3927,121.2541,238.09896,,310,30,,,,325,,,1560,255
Pam Lim,CrossFit Stealth,,worldwide,Women,20790,worldwide,open,225,185,260,145,342,,,,,278,147,653,,
Jessica Bzdell,CrossFit Athens,,worldwide,Women,20791,worldwide,open,155,125,215,105,,,,,,307,,585,,
Caitlin Ferry,CrossFit St Louis Park,,worldwide,Women,20795,worldwide,open,195,165,235,105,303,24,,,,299,155,608,1298,
Phil Tutino,One Asterisk CrossFit,,worldwide,Men,20796,worldwide,open,365,265,375,190,359,62,,,,137,115,543,,
Emmanuel Dickson,Great Wolf CrossFit,,worldwide,Men,20799,worldwide,open,,,,,,,,,,129,,,,
Kevin Nichols,12 Labours CrossFit,,worldwide,Men,20801,worldwide,open,400,325,505,245,369,,,,,137,,557,,66
Tyler Haubenstricker,CrossFit Zionsville,,worldwide,Men,20803,worldwide,open,425,305,450,235,,,,,,155,,,,
Jack Bell,Ultra CrossFit,,worldwide,Men,20805,worldwide,open,319.6699,242.5082,418.8778,191.80194,,,,,,,,543,,
Eric Marrero,CrossFit B & S,,worldwide,Men,20811,worldwide,open,440,315,485,255,,37,,,,,,,,
Teagan Middleton,CrossFit Red Two,,worldwide,Women,20825,worldwide,open,198.4158,121.2541,253.5313,99.2079,,,,,,,,,,
Jake Baxter,CrossFit Berserk,,worldwide,Men,20842,worldwide,open,374.7854,286.6006,440.924,222.66662,328,30,,,,220,138,,,
Laiz Rosa,CrossFit Blumenau,,worldwide,Women,20872,worldwide,open,266,200,297,156.52802,,33,,,,253,287,604,1728,74
Hollee Rogers,CrossFit Bolt,,worldwide,Women,20878,worldwide,open,215,180,272,145,,34,,,,,,,,
Esmonde Tan,,,worldwide,Men,20881,worldwide,open,308.6468,220.462,352.7392,176.3696,287,40,,,,302,231,497,1485,90
Tom Otto,CrossFit Wuid,,worldwide,Men,20882,worldwide,open,330.693,220.462,374.7854,209.4389,,40,,,,,,,,
Dustin Emery,CrossFit Allen,,worldwide,Men,20885,worldwide,open,405,336,510,247,368,16,,,1700,199,133,561,1603,90
Felipe Itter,CrossFit Bulls and Bears South,,worldwide,Men,20886,worldwide,open,341.7161,275.5775,396.8316,242.5082,,,,,,248,178,828,1859,73
Jay Pool,CrossFit Aggieland,,worldwide,Men,20893,worldwide,open,320,245,,175,,,,,,,,,,
Bianca Donaldson,CrossFit Dauntless,,worldwide,Women,20898,worldwide,open,165.3465,110.231,198.4158,77.1617,,11,,,,,308,704,,
David Gryczka,CrossFit Aberdeen,,worldwide,Men,20899,worldwide,open,308.6468,224.87124,374.7854,182.98346,,30,2820,,,300,210,,1320,65
Shelby Stewart,CrossFit Jax,,worldwide,Women,20900,worldwide,open,225,175,275,130,,,,,,285,168,653,1678,
Grant Sizemore,CrossFit Kaneohe,,worldwide,Men,20907,worldwide,open,,277,465,235,,,,,,,117,,1230,
Maria Moritz,Centered CrossFit,,worldwide,Women,20914,worldwide,open,205,145,285,105,,,,,,,,,,
Katelyn Dittmann,CrossFit Love Field,,worldwide,Women,20916,worldwide,open,255,160,,130,,,,,,,,,,
Adam Davis,CrossFit Lloydminster,,worldwide,Men,20921,worldwide,open,445,305,500,220,,,,,,144,,,1650,
Raul Rivera,,,worldwide,Men,20924,worldwide,open,405,285,500,225,435,40,,,,134,139,,1559,61
Florian Bossot,CrossFit 31400,,worldwide,Men,20938,worldwide,open,187.3927,,220.462,,,,,,,,,,1380,59
Andrei Sergheev,Coast Mountain CrossFit,,worldwide,Men,20947,worldwide,open,470,295,535,225,317,40,,,,138,386,,1176,
Clara Silva,Arretado CrossFit,,worldwide,Women,20950,worldwide,open,207.23428,185.18808,251.32668,143.3003,,16,,,,,,,1486,
Vijay Raj,CrossFit Haridwar,,worldwide,Men,20956,worldwide,open,363.7623,275.5775,400,205,,81,,,,170,176,486,1083,
Frankie Rivera,Black and Gold CrossFit,,worldwide,Men,20958,worldwide,open,215,175,275,130,,,,,,,,,,
JaQuarius Jackson,CrossFit North Irving,,worldwide,Men,20971,worldwide,open,340,245,465,180,,27,,,1152,693,165,,1320,53
Niko Nieminen,CrossFit Rauma,,worldwide,Men,20978,worldwide,open,264.5544,198.4158,,,,,,,,,,,,
Gabrielle Interrante,Burg CrossFit,,worldwide,Women,20985,worldwide,open,250,185,320,135,,21,,,,210,205,,,101
Tomasz Mierzeński,CrossFit 43300,,worldwide,Men,20985,worldwide,open,330.693,275.5775,396.8316,242.5082,,,,,,,,,,
Cameron Reid,CrossFit Identity,,worldwide,Men,21018,worldwide,open,400,250,484,225,395,40,,,,174,,435,949,50
Nicholas Miehe,CrossFit Breaking Barbells,,worldwide,Men,21025,worldwide,open,350,275,455,200,,25,,,,130,,,881,52
Guy Adam,Plot Box CrossFit,,worldwide,Men,21033,worldwide,open,,,,,,,,,,,,,1530,
Duncan McNeill,Alchemy CrossFit,,worldwide,Men,21035,worldwide,open,405,285,500,230,402,37,,,1295,162,169,557,1077,
Jake Spruiell,Flatland CrossFit,,worldwide,Men,21043,worldwide,open,335,245,415,205,,30,,,,185,140,720,1260,
Michael Wilson,CrossFit OYL,,worldwide,Men,21064,worldwide,open,385,280,475,235,313,40,4531,,1618,206,144,564,1576,68
Carlos Fernandez,Curae CrossFit,,worldwide,Men,21081,worldwide,open,297.6237,253.5313,330.693,220.462,,,,,,225,,,,
Luis David Alvarez,CrossFit 27,,worldwide,Men,21084,worldwide,open,379.19464,291.00984,418.8778,213.84814,,,,,,,,,,
Zachary Hamilton,CrossFit Casco Bay,,worldwide,Men,21105,worldwide,open,400,300,455,245,,,,,,157,137,,,
Vincent Dupuis,,,worldwide,Men,21122,worldwide,open,396.8316,297.6237,518.0857,220.462,,,,,,,,,1180,
Nate Longo,CrossFit Jääkarhu,,worldwide,Men,21124,worldwide,open,435,295,475,215,353,30,,,,,,,1453,
Nate Longo,CrossFit Jääkarhu,,worldwide,Men,21124,worldwide,open,435,295,475,215,353,30,,,,,,,1453,
Laura Wright,T 800 CrossFit,,worldwide,Women,21128,worldwide,open,198.4158,132.2772,253.5313,88.1848,,,,,,,,,,
Alisha Counts,,,worldwide,Women,21130,worldwide,open,245,190,315,155,271,30,,,1411,115,108,494,1480,72
Jenna Congdon,CrossFit MOJO,,worldwide,Women,21143,worldwide,open,185,,275,115,,22,,,,,,,,
Ashley Oakley,CrossFit Fierro,,worldwide,Women,21145,worldwide,open,250,185,310,140,,,,,,421,236,783,1728,100
Jordy Van den Broek,CrossFit Meierijstad,,worldwide,Men,21156,worldwide,open,308.6468,222.66662,352.7392,187.3927,,39,,,1182,179,314,543,1183,
Natalie Chaves,CrossFit Enkoping,,worldwide,Women,21159,worldwide,open,187.3927,158.73264,209.4389,114.64024,,,,,,,,,1410,
Carlos Gutierrez,Hooligan CrossFit,,worldwide,Men,21161,worldwide,open,365,265,445,215,,,,,,,,535,,
Spencer Scarvey,River Drive CrossFit,,worldwide,Women,21179,worldwide,open,230,165,,120,,,,,1617,307,,,1515,
Jade Spaven,CrossFit Heathrow,,worldwide,Women,21180,worldwide,open,253.5313,176.3696,337.30686,134.48182,314,12,,,,353,195,603,,
Franco Garcia,CrossFit Santiago,,worldwide,Men,21192,worldwide,open,,255,,,,,,,,,157,,1516,
Jose David Rosero Saavedra,Naru CrossFit,,worldwide,Men,21205,worldwide,open,355,280,405,205,,50,,,,254,133,,1396,74
Bailee Haines,NewCov CrossFit,,worldwide,Women,21206,worldwide,open,225,175,300,130,,,,,,420,241,558,,
Cory Neel,CrossFit Spokane,,worldwide,Men,21214,worldwide,open,385,320,485,250,,50,,,,144,165,587,1230,
Matheus Costa,CrossFit Metric,,worldwide,Men,21216,worldwide,open,300,255,335,205,289,50,,,,165,,,,77
Brian Ma,Do More CrossFit,,worldwide,Men,21221,worldwide,open,425,315,445,245,446,49,,,,158,,651,,
Rachel Rosenthal,CrossFit Hita,,worldwide,Women,21225,worldwide,open,235,170,265,130,,,,,,,,,,
Marcus von Nordheim,CrossFit Bern,,worldwide,Men,21229,worldwide,open,330.693,220.462,485.0164,165.3465,,,,,,,,,,
Brooke English,Hammock Coast CrossFit,,worldwide,Women,21233,worldwide,open,205,145,235,110,184,,,,,668,,,,
Caio Mendes,CrossFit Ortenberg,,worldwide,Men,21234,worldwide,open,396.8316,330.693,551.155,282.19136,,45,,,,152,150,575,1380,61
Karl Balemi,Fitness Alley CrossFit,,worldwide,Men,21237,worldwide,open,341.7161,275.5775,518.0857,198.4158,,23,,,1698,155,162,532,,62
Derick Pike,CrossFit DHF,,worldwide,Men,21254,worldwide,open,365,265,425,200,350,55,,,,178,163,551,,
Chelsea Simdorn,,,worldwide,Women,21265,worldwide,open,275,195,320,160,,6,,,,315,160,,,
Santos Hernandez,CrossFit RBP,,worldwide,Men,21288,worldwide,open,455,,510,,,,,,,,,,,
Ryen Rae,Full Steam CrossFit,,worldwide,Women,21306,worldwide,open,320,210,325,155,,,,,,,,,,
Austin Mann,CrossFit Empire South,,worldwide,Men,21313,worldwide,open,405,305,,250,,,,,,144,,,,
Ben Tanner,3F CrossFit,,worldwide,Men,21321,worldwide,open,350,265,410,205,,22,,,,299,203,517,,
Alex Ebert,CrossFit City of Lakes,,worldwide,Men,21331,worldwide,open,355,,475,,,50,,,,178,,,,
Connor Haberl,CrossFit NCR 2,,worldwide,Men,21345,worldwide,open,380,285,405,205,277,38,,,1417,210,153,522,1164,62
Cormac Ryan,,,worldwide,Men,21354,worldwide,open,352.7392,275.5775,385.8085,202.82504,,15,,,,,,,,
Pedro Botelho,CrossFit Boarland,,worldwide,Men,21365,worldwide,open,352.7392,264.5544,418.8778,220.462,,,,,,,,,,
Mohammad Arafa,,,worldwide,Men,21372,worldwide,open,396.8316,286.6006,562.1781,143.3003,,,,,,,,,1500,
Gines Iniesta Bernal,LPA CrossFit,,worldwide,Men,21375,worldwide,open,319.6699,249.12206,421.08242,187.3927,273,34,4515,,,350,224,559,1841,79
Kevin Llarden,CrossFit Fréjus,,worldwide,Men,21384,worldwide,open,,,,,,,,,,171,,,,
Tahlia Casey,CrossFit Might,,worldwide,Women,21394,worldwide,open,160.93726,110.231,209.4389,66.1386,,,,,,,,,,
Adeline Garciau,CrossFit Nox,,worldwide,Women,21401,worldwide,open,198.4158,158.73264,264.5544,119.04948,,3,,,,194,202,,1542,
Chris Hance,Copper Canyon CrossFit,,worldwide,Men,21414,worldwide,open,415,305,505,245,,,,,,153,,,,
Alex Bourgeois,Thibodaux CrossFit,,worldwide,Men,21415,worldwide,open,440,323,585,291,448,60,,,,132,,432,1187,56
Kollin Smith,CrossFit Quest,,worldwide,Men,21442,worldwide,open,395,275,440,235,,,,,,192,221,865,,70
Anthony Blanche,CrossFit 6000,,worldwide,Men,21443,worldwide,open,330.693,242.5082,396.8316,209.4389,,35,,,,240,180,,,96
Nick Padula,CrossFit Novato,,worldwide,Men,21449,worldwide,open,350,285,435,205,,40,,,,180,168,,1205,58
Kenji Olivelli,CrossFit Ajaccio,,worldwide,Men,21478,worldwide,open,264.5544,,396.8316,143.3003,,21,,,,,,,1500,
Manuel Boll,CrossFit Peak Vitality,,worldwide,Men,21481,worldwide,open,286.6006,216.05276,352.7392,176.3696,,26,,,,268,,612,1353,
Ross Lewis,CrossFit Mad Hatter,,worldwide,Men,21483,worldwide,open,400,222,410,150,,30,,,,203,,,,
Bea Connelley,BeachSide CrossFit,,worldwide,Women,21485,worldwide,open,171.96036,132.2772,220.462,40,,,,,,,,,,
Travis Huva,CrossFit Aldgate East,,worldwide,Men,21486,worldwide,open,341.7161,264.5544,440.924,220.462,,32,,,,179,160,,,
Alex Murren,Wildland CrossFit,,worldwide,Men,21487,worldwide,open,475,315,525,230,,,,,,,,,,
Jon Clark,St. Peters CrossFit,,worldwide,Men,21488,worldwide,open,450,315,500,235,211,40,,,1436,296,,,,
Alexander Ashoff,Solidarity CrossFit,,worldwide,Men,21493,worldwide,open,315,250,385,200,423,40,,,1200,154,,459,1142,
James Tapley,CrossFit GBC,,worldwide,Men,21500,worldwide,open,295,210,330,170,305,,,,,303,314,663,1844,
