Athlete,Affiliate,Country,Region,Division,Rank,Games_Level,Qualifier,Back Squat (lbs),Clean and Jerk (lbs),Deadlift (lbs),Snatch (lbs),Fight Gone Bad,Max Pull-ups,Chad1000x (s),L1 Benchmark (s),Filthy 50 (s),Fran (s),Grace (s),Helen (s),Run 5k (s),Sprint 400m (s)
Holly Dockstader,CrossFit Invictus Everest Park,,North America West,Women,384,North America West,quarterfinals,240,180,270,145,328,25,,,1254,228,162,594,,
Brian Kent,,,North America West,Men,384,North America West,quarterfinals,355,280,465,195,420,55,,,1440,157,116,,1595,67
Mario Santaella,AB CrossFit,,worldwide,Men,384,worldwide,open,480,355,525,280,,70,,,,127,,,,81
Alan Genter,CrossFit East Nashville,,North America East,Men,385,North America East,quarterfinals,485,355,485,270,,,,,,131,,,,
Erica Kelly,CrossFit Apex,,North America East,Women,386,North America East,quarterfinals,,,,,380,62,,,1321,128,,492,,
Katie Mueller,MC CrossFit,,North America West,Women,386,North America West,quarterfinals,260,215,315,165,233,51,,,1771,171,153,610,1200,70
Emma Montgomery,,,Oceania,Women,386,Oceania,quarterfinals,220.462,187.3927,275.5775,143.3003,337,29,,,,255,150,572,,74
Angus Cheung,CrossFit 852,,Asia,Men,388,Asia,quarterfinals,375,276,485,225,384,47,,,1413,182,125,532,,68
Jessie Tremblay,TENSKILLS CrossFit,,North America East,Women,388,North America East,quarterfinals,260,215,325,160,,40,,,,,,,,
Justin Peterson,CrossFit Green Bay,,North America East,Men,389,North America East,quarterfinals,465,335,475,252,361,69,,,,118,120,498,1320,60
Ryan Alec Chavez,CrossFit Magna,,North America West,Men,390,North America West,quarterfinals,350,300,435,225,,,,,,,148,,,59
Camill Leduc,CrossFit Gooroo,,North America East,Men,390,North America East,quarterfinals,435,305,510,250,,60,,,1095,132,148,508,1169,66
Chadwick Warren,CrossFit Jenks,,North America West,Men,391,North America West,quarterfinals,475,375,555,250,,59,,,,122,146,466,1279,64
Dorian Memko,CrossFit Valax,,Europe,Men,392,Europe,quarterfinals,374.7854,297.6237,429.9009,231.4851,,70,,,,148,120,,1180,
Gonzalo Herrera,,,North America East,Men,392,North America East,quarterfinals,425,315,480,265,,,,,,173,143,,,
Kristopher Gregory,CrossFit West Des Moines,,North America West,Men,392,North America West,quarterfinals,440,310,500,285,344,51,,,1413,187,120,597,1431,79
Greg Nyhof,CrossFit PSC,,North America East,Men,393,North America East,quarterfinals,465,345,545,265,,,,,,,,,,
Danielle Nguyen,CrossFit North Gate,,North America West,Women,393,North America West,quarterfinals,270,205,340,175,,15,,,,166,121,,,
Kyle Cross,,,North America East,Men,394,North America East,quarterfinals,487,360,575,290,388,,,,,168,,,,
Lucas Silva,,,South America,Men,394,South America,quarterfinals,507.0626,385.8085,529.1088,286.6006,,,,,,,,,1141,
Erica Adkison,CrossFit Wichita,,North America West,Women,394,North America West,quarterfinals,200,152,255,,,,,,,,,,,
Gabriel Apostolescu,CrossFit Columna,,Europe,Men,395,Europe,quarterfinals,485.0164,319.6699,551.155,242.5082,,,,,,172,,,1352,71
Dannielle Urrutia,CrossFit Riverside,,North America West,Women,395,North America West,quarterfinals,265,200,315,160,,16,,,,168,,,,
Luke Keeble,,,Europe,Men,396,Europe,quarterfinals,430,315,490,255,,,,,,,,,,
Meaghan Dayton,Mensch CrossFit,,North America West,Women,396,North America West,quarterfinals,240,180,320,150,,,,,,,,,,
Julio Emmanuel Lugo,,,North America West,Men,396,North America West,quarterfinals,335,285,395,225,,,,,,,,,,
Kane Kilmister,CrossFit 2600,,Oceania,Men,398,Oceania,quarterfinals,264.5544,187.3927,308.6468,132.2772,,,,,,,,,,
Anders Claesson,CrossFit 04320,,Europe,Men,399,Europe,quarterfinals,374.7854,,451.9471,220.462,,,,,,188,136,538,,
Heather Robb,Fort to Fort CrossFit,,North America West,Women,400,North America West,quarterfinals,250,195,330,,,30,,,,,,525,,
Mikaela Henne,CrossFit Aerial,,North America West,Women,400,North America West,quarterfinals,255,195,280,160,401,,4030,,935,227,107,,,92
Kristina Schrepf,CrossFit Milford,,North America East,Women,401,North America East,quarterfinals,,205,,155,,40,,,,,,,,62
